,round,day_week,date,hour,home,goal_home,goal_away,away,public,stadium,referee,number_match
30,3,mon,2015-08-24,20:00,Arsenal,0,0,Liverpool,60.080,Emirates Stadium,Michael Oliver,12144
31,4,sat,2015-08-29,12:45,Newcastle Utd,0,1,Arsenal,50.388,St. James' Park,Andre Marriner,12150
32,4,sat,2015-08-29,15:00,Chelsea,1,2,Crystal Palace,41.581,Stamford Bridge,Craig Pawson,12147
33,4,sat,2015-08-29,15:00,Bournemouth,1,1,Leicester City,11.155,Vitality Stadium,Niel Swarbrick,12146
34,4,sat,2015-08-29,15:00,Stoke City,0,1,West Brom,26.747,Bet365 Stadium,Michael Oliver,12151
35,4,sat,2015-08-29,15:00,Liverpool,0,3,West Ham,43.680,Anfield,Kevin Friend,12148
36,4,sat,2015-08-29,15:00,Aston Villa,2,2,Sunderland,35.399,Villa Park,Robert Madley,12145
37,4,sat,2015-08-29,15:00,Manchester City,2,0,Watford,53.218,Etihad Stadium,Mark Clattenburg,12149
38,4,sat,2015-08-29,17:30,Tottenham,0,0,Everton,35.865,White Hart Lane,Mike Jones,12152
39,4,dom,2015-08-30,13:30,Southampton,3,0,Norwich City,29.573,St. Mary's Stadium,Jonathan Moss,12153
40,4,dom,2015-08-30,16:00,Swansea City,2,1,Manchester Utd,20.828,Liberty Stadium,Martin Atkinson,12154
41,5,sat,2015-09-12,12:45,Everton,3,1,Chelsea,38.311,Goodison Park,Andre Marriner,12157
42,5,sat,2015-09-12,15:00,Norwich City,3,1,Bournemouth,27.018,Carrow Road,Martin Atkinson,12159
43,5,sat,2015-09-12,15:00,Arsenal,2,0,Stoke City,59.963,Emirates Stadium,Jonathan Moss,12155
44,5,sat,2015-09-12,15:00,Watford,1,0,Swansea City,20.057,Vicarage Road Stadium,Robert Madley,12160
45,5,sat,2015-09-12,15:00,West Brom,0,0,Southampton,24.265,The Hawthorns,Stuart Attwell,12161
46,5,sat,2015-09-12,15:00,Crystal Palace,0,1,Manchester City,25.167,Selhurst Park,Mike Jones,12156
47,5,sat,2015-09-12,17:30,Manchester Utd,3,1,Liverpool,75.347,Old Trafford,Michael Oliver,12158
48,5,dom,2015-09-13,13:30,Sunderland,0,1,Tottenham,40.303,Stadium of Light,Craig Pawson,12163
49,5,dom,2015-09-13,16:00,Leicester City,3,2,Aston Villa,31.733,King Power Stadium,Mike Dean,12162
50,5,mon,2015-09-14,20:00,West Ham,2,0,Newcastle Utd,34.907,Boleyn Ground,Anthony Taylor,12164
51,6,sat,2015-09-19,12:45,Chelsea,2,0,Arsenal,41.584,Stamford Bridge,Mike Dean,12167
52,6,sat,2015-09-19,15:00,Newcastle Utd,1,2,Watford,47.806,St. James' Park,Roger East,12169
53,6,sat,2015-09-19,15:00,Swansea City,0,0,Everton,20.805,Liberty Stadium,Stuart Attwell,12171
